label,area,centroid-0,centroid-1,mean_intensity,z
16,220.0,897.6545454545454,538.1590909090909,495.4045454545454,22
17,136.0,896.5147058823529,551.0294117647059,485.8602941176471,22
18,232.0,931.5,543.0,463.4439655172414,22
19,1743.0,1067.8915662650602,699.479059093517,253.1520367183018,22
20,6118.0,1256.5487087283425,253.43674403399802,148.86319058515855,22
21,9028.0,1304.2766947275145,312.91482055826316,148.98260965883918,22
22,144.0,1285.0833333333333,989.4930555555555,453.27777777777777,22
23,1202.0,1302.3377703826955,647.9767054908485,158.2412645590682,22
24,493.0,1303.2677484787018,1596.523326572008,614.184584178499,22
25,190.0,1318.1052631578948,992.578947368421,296.0052631578947,22
26,126.0,1321.373015873016,1021.1428571428571,233.03968253968253,22
27,140.0,1343.2714285714285,905.9857142857143,340.3142857142857,22
28,262.0,1356.2213740458014,957.4923664122138,645.1793893129772,22
29,192.0,1355.5416666666667,931.578125,291.0208333333333,22
30,117.0,1359.6752136752136,981.6752136752136,337.1623931623932,22
31,3954.0,1408.7948912493678,663.9873545776429,158.73394031360647,22
32,6605.0,1444.887358062074,1054.3591218773656,154.80181680545041,22
33,8909.0,1514.0722864519025,1124.4892805028624,156.6329554383208,22
34,345.0,1472.6550724637682,366.2260869565217,634.8057971014492,22
35,324.0,1508.4475308641975,410.5679012345679,652.108024691358,22
36,3587.0,1567.688040144968,1001.4376916643434,189.78115416782828,22
37,1739.0,1649.0402530189765,558.137435307648,641.0730304772858,22
38,566.0,1791.7650176678446,290.160777385159,265.839222614841,22
1,1257.0,14.023070803500397,474.0159108989658,513.2402545743835,23
2,7689.0,57.24099362725972,1493.3624658603198,177.1461828586292,23
3,3497.0,243.2410637689448,351.2545038604518,737.3866171003717,23
4,881.0,365.8967082860386,1665.2122587968217,160.49602724177072,23
5,708.0,603.3418079096045,881.611581920904,511.7217514124294,23
6,265.0,630.7094339622641,843.6452830188679,595.9358490566037,23
7,306.0,754.2450980392157,1259.483660130719,515.4117647058823,23
8,359.0,885.3398328690807,1042.8272980501392,1375.2033426183843,23
9,1617.0,1067.8423005565862,699.5281385281386,247.12368583797155,23
10,193.0,1053.5129533678758,475.7616580310881,953.3419689119171,23
11,7103.0,1118.8884978178235,915.6504293960298,146.9697310995354,23
12,283.0,1258.7526501766783,1577.904593639576,560.113074204947,23
13,365.0,1276.7972602739726,1604.6876712328767,450.14794520547946,23
14,418.0,1304.5885167464114,1595.3325358851675,673.188995215311,23
15,331.0,1472.4441087613293,366.32326283987913,650.7643504531723,23
16,278.0,1508.410071942446,410.8201438848921,632.726618705036,23
17,3460.0,1568.0664739884394,1001.2421965317919,186.4699421965318,23
18,146.0,1603.5890410958905,548.3219178082192,388.2739726027397,23
19,1902.0,1649.2528916929548,557.0525762355416,717.1913774973711,23
20,131.0,1642.4503816793892,615.9847328244275,407.74045801526717,23
21,608.0,1791.578947368421,290.8108552631579,261.3157894736842,23
1,1261.0,14.253766851704997,474.7938144329897,598.2569389373513,24
2,7154.0,54.122868325412355,1492.8479172490913,179.81562762091139,24
3,2716.0,228.31296023564065,267.52061855670104,258.4558173784978,24
4,4092.0,244.41837732160312,349.89907135874876,680.5698924731183,24
5,512.0,604.423828125,882.404296875,622.92578125,24
6,234.0,631.025641025641,843.5940170940171,696.6794871794872,24
7,269.0,717.4944237918215,1281.185873605948,339.0669144981413,24
8,290.0,754.2965517241379,1258.9655172413793,524.5241379310345,24
9,10357.0,890.8315149174472,542.1510089794342,173.2928454185575,24
10,386.0,884.9559585492228,1042.5051813471503,1085.69689119171,24
11,7653.0,1031.0442963543708,939.5119560956488,146.9402848556122,24
12,4166.0,1052.3862217954872,878.9042246759482,148.50408065290446,24
13,326.0,1053.506134969325,475.8558282208589,624.5858895705521,24
14,1449.0,1067.4989648033127,699.5900621118012,244.05037957211871,24
15,332.0,1061.921686746988,426.3885542168675,674.6355421686746,24
16,294.0,1071.8809523809523,461.2721088435374,508.2891156462585,24
17,5864.0,1114.343281036835,916.2358458390178,147.76296043656208,24
18,5637.0,1164.6744722370056,907.3524924605287,148.21145999645202,24
19,377.0,1146.5145888594163,441.54111405835545,637.0689655172414,24
20,50.0,1238.22,1632.0,445.0,24
